  久しい  【ひさしい】  long (time), long-continued, old (story)
  久しい昔  【ひさしいむかし】  a long time ago

  仏  【ほとけ】  Buddha, merciful person, Buddhist image, the dead, dead person, spirit of the dead
  仏顔  【ほとけがお】  gentle face
  神仏  【しんぶつ】  gods and buddhas, gods and Buddha, Shinto and Buddhism
  笑い仏  【わらいほとけ】  smiling Buddha (statue), laughing Buddha

  仮  【かり】  temporary, provisional, interim, fictitious, assumed (name), alias, hypothetical, theoretical
  仮に  【かりに】  temporarily, provisionally, for the time being, supposing, for argument's sake

  件  【くだん】  the aforementioned, the said, (man, incident, etc.) in question, the above-mentioned, the aforesaid, the usual
  件の一件  【くだんのいっけん】  the matter in question, the aforesaid matter

  任せる  【まかせる】  to entrust (e.g. a task) to another, to leave to, to passively leave to someone else's facilities, to leave to take its natural course, to continue (something) in a natural fashion (without particular aim), to rely fully on one's (full strength, great ability, long time taken) to get something done
  任す  【まかす】  to entrust, to leave to a person

  似る  【にる】  to resemble, to look like, to take after, to be similar (in status, condition, etc.), to be close, to be alike, to be like

  余る  【あまる】  to remain, to be left over, to be in excess, to be too many
  余り  【あまり】  remainder, rest, balance, remains, scraps, residue, remnant, not very (with negative sentence), not much, surplus, excess, fullness, too much, more than, over
  余りに  【あまりに】  too much, excessively, too
  余す  【あます】  to save, to leave over, to spare
  余すところなく  【あますところなく】  fully, thoroughly
  余り  【あまり】  remainder, rest, balance, remains, scraps, residue, remnant, not very (with negative sentence), not much, surplus, excess, fullness, too much, more than, over

  値  【あたい】  price, cost, value, worth, merit, value, count, number, variable (computer programming, programing)
  値する  【あたいする】  to be worth, to deserve, to merit

  保つ  【たもつ】  to keep, to preserve, to hold, to retain, to maintain, to sustain, to last, to endure, to keep well (food), to wear well, to be durable

  修める  【おさめる】  to study, to complete (a course), to cultivate, to master, to order (one's life), to repair (a fault one has committed)
  修まる  【おさまる】  to reform (oneself), to conduct oneself well

  俵  【たわら】  straw bag, bale, sack, counter for sacks, counter for bales, counter for bags
  俵編  【たわらあみ】  making bags out of this year's straw (during autumn)



  備える  【そなえる】  to furnish with, to equip with, to provide, to install, to prepare for, to make preparations for, to make provision for, to possess (all that is needed), to be endowed with, to be equipped with, to be born with, to have since birth
  備わる  【そなわる】  to be furnished with, to be provided with, to be equipped with, to be possessed of, to be endowed with, to be gifted with, to be among, to be one of
  具に  【つぶさに】  in detail, with great care, completely, fully



  再び  【ふたたび】  again, once more, a second time
  再び取る  【ふたたびとる】  to reassume



  分かる  【わかる】  to understand, to comprehend, to grasp, to see, to get, to follow, to become clear, to be known, to be discovered, to be realized, to be realised, to be found out





  則る  【のっとる】  to conform to, to be in accordance with, to follow (rule, tradition, example, etc.)

  効く  【きく】  to be effective, to show effect, to do its work, to carry out its function well, to be possible to use
  効き目  【ききめ】  effect, virtue, efficacy, impression, one's dominant eye

  勤める  【つとめる】  to work (for), to be employed (at), to serve (in), to serve (as), to act (as), to fill (the position of), to play the role (of), to conduct a religious service

  勢い  【いきおい】  force, vigor, vigour, energy, spirit, life, influence, authority, power, might, impetus, momentum, course (of events), naturally, necessarily
  勢いよく  【いきおいよく】  vigorously
