  数  【かず】  number, amount
  数多く  【かずおおく】  in great numbers
  手数  【てすう】  trouble, bother, number of moves (in go, shogi, etc.), number of punches (in boxing)
  口数  【くちかず】  number of words a person speaks, number of dependents, number of mouths to feed, number of shares, items, applications, etc.
  数える  【かぞえる】  to count, to enumerate
  屡々  【しばしば】  often, again and again, frequently, repeatedly

  多い  【おおい】  many, numerous, a lot, large quantity, large amount, frequent, common

  少ない  【すくない】  few, a little, scarce, insufficient, seldom
  少ない時間  【すくないじかん】  limited time
  少し  【すこし】  small quantity, little, few, something, little while, short distance
  少しも  【すこしも】  anything of, not one bit (with negative sentence)

  万  【まん】  10,000, ten thousand, myriad, everything, all, various
  万代  【ばんだい】  thousands of years, eternity, all generations
  千万  【せんばん】  exceedingly, very many, very much, indeed, a great many
  八百万  【やおよろず】  myriad, countless things

  半ば  【なかば】  middle, half, semi, halfway, partly
  半ば過ぎ  【なかばすぎ】  beyond the middle

  形  【かた】  shape, appearance, collateral, obverse of an old "zeni" coin
  形  【かたち】  form, shape, figure, visage
  跡形  【あとかた】  trace, vestige, evidence
  館  【やかた】  mansion, small castle, nobleman, noblewoman, boat cabin
  形  【かたち】  form, shape, figure, visage
  形作る  【かたちづくる】  to form, to shape, to make, to mold, to mould, to build up
  顔かたち  【かおかたち】  features, looks
  姿形  【すがたかたち】  appearance, figure, shape, form
  形  【なり】  style, way, shape, form, appearance, state
  形体  【なりかたち】  one's appearance
  弓なり  【ゆみなり】  bow shape, arc, arch, segment (of a circle)
  生成り  【きなり】  unbleached cloth, unbleached colour (color), unbleached, undyed

  太い  【ふとい】  fat, thick, deep (of a voice), daring, shameless, brazen, lucky (billiards)
  太藺  【ふとい】  softstem bulrush (Scirpus tabernaemontani)
  太る  【ふとる】  to grow fat (stout, plump), to become fat, to gain weight

  細い  【ほそい】  thin, slender, fine, unlucky (billiards slang)
  細い糸  【ほそいいと】  fine thread
  細る  【ほそる】  to get thin, to taper off
  細か  【こまか】  small, fine, detailed, stingy
  細かい  【こまかい】  small, fine, minute, minor, trivial, sensitive, attentive
  細かい  【こまかい】  small, fine, minute, minor, trivial, sensitive, attentive
  細かいこと  【こまかいこと】  trifles, minor details

  広い  【ひろい】  spacious, vast, wide
  広い支持  【ひろいしじ】  broad support, wide-ranging support
  広まる  【ひろまる】  to spread, to be propagated
  広める  【ひろめる】  to spread, to propagate, to popularize, to disseminate, to broaden, to extend, to widen, to enlarge
  広がる  【ひろがる】  to spread (out), to extend, to stretch, to reach to, to get around, to fill (e.g. a space)
  広げる  【ひろげる】  to spread, to extend, to expand, to enlarge, to widen, to broaden, to unfold, to open, to unroll, to unwrap, to scatter about, to spread around, to make flourish, to cause to prosper

  長い  【ながい】  long (distance), long (time), lengthy
  長居  【ながい】  long visit, overstaying
  長  【おさ】  head, chief, leader, elder, the greatest of all, the most excellent
  長亀  【おさがめ】  leatherback turtle (Dermochelys coriacea)
  田長  【たおさ】  master of the rice field, chief farmer, lesser cuckoo (Cuculus poliocephalus)
  死出田長  【しでたおさ】  lesser cuckoo (Cuculus poliocephalus)

  点ける  【つける】  to turn on, to switch on, to light up
  点く  【つく】  to be lit (e.g. electricity comes on), to be lighted, to catch fire
  点てる  【たてる】  to make tea (matcha), to perform the tea ceremony
  注す  【さす】  to pour, to add (liquid), to serve (drinks), to put on (lipstick, etc.), to apply, to colour, to dye, to light (a fire), to burn
  灯す  【ともす】  to light (a candle, lamp, etc.), to turn on (a light)
  灯す  【ともす】  to light (a candle, lamp, etc.), to turn on (a light)

  丸  【まる】  circle, entirety, whole, full, complete, money, dough, moola, enclosure inside a castle's walls, soft-shelled turtle, suffix for ship names, suffix for names of people (esp. infants), suffix for names of swords, armour, musical instruments, etc., suffix for names of dogs, horses, etc.
  丸い  【まるい】  round, circular, spherical, harmonious, calm
  本丸  【ほんまる】  inner citadel, core, center, centre, focus, crux
  鳳凰丸  【ほうおうまる】  Hōō Maru (Western-style Japanese frigate, launched in 1853)
  丸める  【まるめる】  to make round, to roll up, to curl up, to seduce, to cajole, to explain away, to round off (a fraction), to lump together
  丸い  【まるい】  round, circular, spherical, harmonious, calm
  丸一日  【まるいちにち】  the whole day, all the day

  交わる  【まじわる】  to cross, to intersect, to join, to meet, to associate with, to mingle with, to consort with, to have a sexual relationship, to copulate
  交える  【まじえる】  to mix, to combine, to exchange (words, fire, etc.), to cross (e.g. swords), to join together
  混じる  【まじる】  to be mixed, to be blended with, to associate with, to mingle with, to interest, to join
  混じる  【まじる】  to be mixed, to be blended with, to associate with, to mingle with, to interest, to join
  混ざる  【まざる】  to be mixed, to be blended with, to associate with, to mingle with, to join
  混ぜる  【まぜる】  to mix, to stir, to blend
  交わす  【かわす】  to exchange (messages, greetings, arguments, etc.), to intersect, to cross, to interlace, ... with one another, ... to each other
  交わす  【かわす】  to exchange (messages, greetings, arguments, etc.), to intersect, to cross, to interlace, ... with one another, ... to each other
  交々  【こもごも】  alternately, in succession

  光る  【ひかる】  to shine, to glitter, to be bright
  光る棒  【ひかるぼう】  glowstick, neon light stick
  光  【ひかり】  light, illumination, ray, beam, gleam, glow, happiness, hope, influence, power, vision, eyesight
